,player,team,year,injured,previous
81,Angel Guzman,Chicago Cubs,2006,yes,no
83,Jeff Karstens,New York Yankees,2006,yes,no
84,Mark Lowe,Seattle Mariners,2006,yes,no
89,Gary Majewski,Cincinnati Reds,2006,yes,no
99,Taylor Tankersley,Florida Marlins,2007,yes,no
100,Esteban Loaiza,Oakland Athletics,2007,yes,yes
101,Peter Moylan,Atlanta Braves,2007,yes,yes
102,Mark Redman,Atlanta Braves,2007,yes,no
103,Guillermo Mota,New York Mets,2007,yes,no
104,Neal Musser,Kansas City Royals,2007,yes,no
105,Vinnie Chulk,San Francisco Giants,2007,yes,no
106,Randy Keisler,St. Louis Cardinals,2007,yes,no
107,Chuck James,Atlanta Braves,2007,yes,yes
110,Sean Burnett,Pittsburgh Pirates,2007,yes,yes
111,Chuck James,Atlanta Braves,2008,yes,yes
113,Sergio Romo,San Francisco Giants,2009,yes,no
114,Jeff Francis,Colorado Rockies,2009,yes,no
115,Justin Duchscherer,Oakland Athletics,2009,yes,no
116,Noah Lowry,San Francisco Giants,2009,yes,no
117,Jeremy Bonderman,Detroit Tigers,2009,yes,no
118,Jason Isringhausen,Tampa Bay Rays,2009,yes,no
119,John Bale,Kansas City Royals,2009,yes,no
120,Cesar Jimenez,Seattle Mariners,2009,yes,no
121,Mark Worrell,San Diego Padres,2009,yes,no
122,Mike Adams,San Diego Padres,2009,yes,no
123,Scott Baker,Minnesota Twins,2009,yes,yes
124,Boof Bonser,Minnesota Twins,2009,yes,no
125,Tom Glavine,Atlanta Braves,2009,yes,no
126,Phil Dumatrait,Pittsburgh Pirates,2009,yes,no
127,Terrell Young,Washington Nationals,2009,yes,no
128,Joey Devine,Oakland Athletics,2009,yes,no
129,Miguel Gonzalez,Boston Red Sox,2009,yes,no
130,Rick Van Den Hurk,Florida Marlins,2009,yes,no
131,Scott Proctor,Florida Marlins,2009,yes,no
132,John Smoltz,Boston Red Sox,2009,yes,no
133,John Lackey,Los Angeles Angels,2009,yes,no
135,Billy Wagner,New York Mets,2009,yes,no
137,Cha Seung Baek,San Diego Padres,2009,yes,no
138,Joaquin Benoit,Texas Rangers,2009,yes,no
139,Chad Bradford,Tampa Bay Rays,2009,yes,no
140,Taylor Buchholz,Colorado Rockies,2009,yes,no
141,Kelvim Escobar,Los Angeles Angels,2009,yes,no
142,Willie Eyre,Texas Rangers,2009,yes,no
143,Tom Gordon,Arizona Diamondbacks,2009,yes,no
144,Eric Hurley,Texas Rangers,2009,yes,no
145,Dustin Nippert,Texas Rangers,2009,yes,no
146,Tim Redding,New York Mets,2009,yes,no
147,Ervin Santana,Los Angeles Angels,2009,yes,no
148,Max Scherzer,Arizona Diamondbacks,2009,yes,no
149,Jason Schmidt,Los Angeles Dodgers,2009,yes,no
150,Casey Janssen,Toronto Blue Jays,2009,yes,no
151,Claudio Vargas,Los Angeles Dodgers,2009,yes,no
152,Shaun Marcum,Toronto Blue Jays,2009,yes,no
153,Dustin McGowan,Toronto Blue Jays,2009,yes,no
154,Hiroki Kuroda,Los Angeles Dodgers,2009,yes,no
155,Joe Martinez,San Francisco Giants,2009,yes,no
156,Eric Stults,Los Angeles Dodgers,2009,yes,no
